"Name","Activity type","Description"
"Canopy","driving",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","-2.478481","29.199655","2450.0","98.0","3.9","0.25","2015-12-27T13:20:37.409Z","","",""
"1","2","-2.478481","29.199655","2450.0","98.0","3","0.25","2015-12-27T13:20:48.603Z","","",""
"1","3","-2.478473","29.19966","2447.0","","3.9","0","2015-12-27T13:20:49.635Z","","",""
"1","4","-2.47848","29.199655","2447.0","","3","0","2015-12-27T13:20:52.177Z","","",""
"1","5","-2.478481","29.199656","2446.0","","3.9","0","2015-12-27T13:20:52.555Z","","",""
"1","6","-2.478485","29.199659","2445.0","","3","0","2015-12-27T13:20:54.732Z","","",""
"1","7","-2.478481","29.199666","2444.0","","3.9","0","2015-12-27T13:20:55.635Z","","",""
"1","8","-2.478483","29.199673","2442.0","","4","0","2015-12-27T13:21:10.118Z","","",""
"1","9","-2.478483","29.199674","2442.0","98.0","4","0.25","2015-12-27T13:21:10.588Z","","",""
"1","10","-2.478483","29.199674","2442.0","98.0","4","0.25","2015-12-27T13:21:10.637Z","","",""
"1","11","-2.478491","29.199678","2442.0","","4","0","2015-12-27T13:21:11.603Z","","",""
"1","12","-2.478493","29.199679","2442.0","98.0","4","0.5","2015-12-27T13:21:13.000Z","","",""
"1","13","-2.478505","29.199679","2441.0","161.0","5","0.75","2015-12-27T13:21:13.717Z","","",""
"1","14","-2.478505","29.199679","2441.0","161.0","5","0.75","2015-12-27T13:21:13.783Z","","",""
"1","15","-2.478523","29.199673","2442.0","161.0","4","0.5","2015-12-27T13:21:14.771Z","","",""
"1","16","-2.478523","29.199673","2442.0","161.0","4","0.5","2015-12-27T13:21:14.996Z","","",""
"1","17","-2.47852","29.199682","2441.0","161.0","4","0.25","2015-12-27T13:21:15.756Z","","",""
"1","18","-2.478528","29.199682","2439.0","161.0","4","0.25","2015-12-27T13:21:16.652Z","","",""
"1","19","-2.478531","29.199669","2440.0","161.0","3.9","0.5","2015-12-27T13:21:17.901Z","","",""
