"Name","Activity type","Description"
"28/12/2015 17:43","driving",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","-2.325082","29.132061","1531.0","","8","0.559","2015-12-28T16:43:40.329Z","","",""
"1","2","-2.325076","29.132061","1547.0","","3","0","2015-12-28T16:44:13.421Z","","",""
"1","3","-2.325062","29.132058","1551.0","","4","0","2015-12-28T16:44:14.315Z","","",""
"1","4","-2.325062","29.132058","1551.0","","4","0","2015-12-28T16:44:14.401Z","","",""
"1","5","-2.325056","29.132044","1552.0","","4","0","2015-12-28T16:44:15.322Z","","",""
"1","6","-2.325052","29.132048","1556.0","","4","0","2015-12-28T16:44:17.445Z","","",""
"1","7","-2.325042","29.132043","1555.0","","4","0","2015-12-28T16:44:18.395Z","","",""
"1","8","-2.325039","29.132042","1554.0","0.0","5","0.25","2015-12-28T16:44:20.489Z","","",""
"1","9","-2.325041","29.132032","1559.0","","4","0.25","2015-12-28T16:44:21.328Z","","",""
"1","10","-2.325041","29.132032","1559.0","0.0","4","0.25","2015-12-28T16:44:21.387Z","","",""
"1","11","-2.32505","29.132038","1562.0","156.0","4","0.75","2015-12-28T16:44:22.315Z","","",""
"1","12","-2.325052","29.132034","1561.0","156.0","4","0.5","2015-12-28T16:44:23.465Z","","",""
"1","13","-2.325043","29.132024","1561.0","156.0","4","0.25","2015-12-28T16:44:24.436Z","","",""
"1","14","-2.325037","29.132017","1560.0","","3","0","2015-12-28T16:44:26.540Z","","",""
"1","15","-2.325033","29.132021","1560.0","","3.9","0","2015-12-28T16:44:27.435Z","","",""
"1","16","-2.325026","29.132026","1561.0","","3","0","2015-12-28T16:44:30.338Z","","",""
"1","17","-2.325024","29.132026","1561.0","","3.9","0","2015-12-28T16:44:31.437Z","","",""
"1","18","-2.325021","29.132029","1565.0","156.0","3","0.5","2015-12-28T16:44:38.680Z","","",""
"1","19","-2.325024","29.132037","1567.0","156.0","4","0.25","2015-12-28T16:44:39.509Z","","",""
"1","20","-2.325022","29.132043","1567.0","156.0","3","0.25","2015-12-28T16:44:41.683Z","","",""
"1","21","-2.325018","29.132045","1568.0","156.0","3.9","0.25","2015-12-28T16:44:42.414Z","","",""
"1","22","-2.32501","29.132042","1568.0","156.0","3","0.5","2015-12-28T16:44:44.655Z","","",""
"1","23","-2.325004","29.132037","1568.0","","3.9","0","2015-12-28T16:44:45.424Z","","",""
"1","24","-2.324999","29.132036","1569.0","","3","0","2015-12-28T16:44:47.128Z","","",""
"1","25","-2.324995","29.132035","1570.0","","3.9","0","2015-12-28T16:44:47.320Z","","",""
"1","26","-2.325002","29.13203","1568.0","156.0","3","0.5","2015-12-28T16:44:55.794Z","","",""
"1","27","-2.325008","29.13203","1568.0","156.0","3.9","0.5","2015-12-28T16:44:56.320Z","","",""
"1","28","-2.325015","29.13203","1569.0","","3","0","2015-12-28T16:44:58.743Z","","",""
"1","29","-2.325017","29.13203","1569.0","","3.9","0","2015-12-28T16:44:59.384Z","","",""
"1","30","-2.325023","29.132032","1568.0","","3","0","2015-12-28T16:45:01.507Z","","",""
"1","31","-2.325025","29.132034","1568.0","","3.9","0","2015-12-28T16:45:02.681Z","","",""
"1","32","-2.325023","29.132038","1568.0","156.0","3","0.25","2015-12-28T16:45:06.718Z","","",""
"1","33","-2.325018","29.132041","1567.0","156.0","3.9","0.25","2015-12-28T16:45:07.456Z","","",""
"1","34","-2.325013","29.132045","1568.0","156.0","3","0.25","2015-12-28T16:45:08.922Z","","",""
"1","35","-2.325007","29.132049","1568.0","","3.9","0","2015-12-28T16:45:09.434Z","","",""
"1","36","-2.324998","29.132046","1567.0","","3","0","2015-12-28T16:45:14.922Z","","",""
"1","37","-2.324997","29.132044","1567.0","","3.9","0","2015-12-28T16:45:15.395Z","","",""
"1","38","-2.325002","29.132039","1566.0","156.0","3","0.25","2015-12-28T16:45:18.831Z","","",""
"1","39","-2.325006","29.132037","1566.0","156.0","3.9","0.5","2015-12-28T16:45:19.334Z","","",""
"1","40","-2.325012","29.132032","1566.0","","3","0","2015-12-28T16:45:22.775Z","","",""
"1","41","-2.325013","29.132031","1566.0","","3.9","0","2015-12-28T16:45:23.361Z","","",""
"1","42","-2.32501","29.132035","1566.0","156.0","3","0.25","2015-12-28T16:45:27.619Z","","",""
"1","43","-2.325007","29.13204","1566.0","156.0","3.9","0.25","2015-12-28T16:45:28.551Z","","",""
"1","44","-2.325004","29.132045","1566.0","156.0","3","0.5","2015-12-28T16:45:29.565Z","","",""
"1","45","-2.325001","29.132054","1567.0","61.0","3.9","0.75","2015-12-28T16:45:30.709Z","","",""
"1","46","-2.325001","29.132054","1567.0","61.0","3","0.75","2015-12-28T16:45:31.129Z","","",""
"1","47","-2.324999","29.132065","1567.0","70.0","3.9","1","2015-12-28T16:45:31.289Z","","",""
"1","48","-2.324999","29.132065","1567.0","70.0","3","1","2015-12-28T16:45:31.346Z","","",""
"1","49","-2.324998","29.132076","1566.0","79.0","3.9","1","2015-12-28T16:45:32.610Z","","",""
"1","50","-2.324998","29.132076","1566.0","79.0","3","1","2015-12-28T16:45:33.120Z","","",""
"1","51","-2.324999","29.132091","1567.0","86.0","3.9","1.25","2015-12-28T16:45:33.345Z","","",""
"1","52","-2.324999","29.132091","1567.0","86.0","3","1.25","2015-12-28T16:45:33.390Z","","",""
"1","53","-2.325","29.132118","1567.0","89.0","3.9","2.5","2015-12-28T16:45:34.482Z","","",""
"1","54","-2.325","29.132118","1567.0","89.0","3","2.5","2015-12-28T16:45:34.752Z","","",""
"1","55","-2.325001","29.132149","1567.0","90.0","3.9","3","2015-12-28T16:45:35.434Z","","",""
"1","56","-2.325001","29.132149","1567.0","90.0","3","3","2015-12-28T16:45:35.688Z","","",""
"1","57","-2.325003","29.132181","1567.0","91.0","3.9","3.25","2015-12-28T16:45:36.491Z","","",""
"1","58","-2.325003","29.132181","1567.0","91.0","3","3.25","2015-12-28T16:45:36.926Z","","",""
"1","59","-2.325004","29.132215","1567.0","90.0","3.9","3.25","2015-12-28T16:45:37.393Z","","",""
"1","60","-2.325004","29.132215","1567.0","90.0","3","3.25","2015-12-28T16:45:37.439Z","","",""
"1","61","-2.325004","29.132249","1569.0","90.0","3.9","3.5","2015-12-28T16:45:38.586Z","","",""
"1","62","-2.325004","29.132249","1569.0","90.0","3","3.5","2015-12-28T16:45:39.100Z","","",""
"1","63","-2.325004","29.132285","1569.0","88.0","3.9","3.5","2015-12-28T16:45:39.289Z","","",""
"1","64","-2.325004","29.132285","1569.0","88.0","3","3.5","2015-12-28T16:45:39.351Z","","",""
"1","65","-2.325003","29.132325","1570.0","87.0","3.9","4","2015-12-28T16:45:40.644Z","","",""
"1","66","-2.325003","29.132325","1570.0","87.0","3","4","2015-12-28T16:45:41.110Z","","",""
"1","67","-2.325001","29.132365","1571.0","87.0","3.9","4","2015-12-28T16:45:41.330Z","","",""
"1","68","-2.325001","29.132365","1571.0","87.0","3","4","2015-12-28T16:45:41.365Z","","",""
"1","69","-2.325","29.132402","1572.0","87.0","3.9","4","2015-12-28T16:45:42.605Z","","",""
"1","70","-2.325","29.132402","1572.0","87.0","3","4","2015-12-28T16:45:42.966Z","","",""
"1","71","-2.325","29.132437","1572.0","88.0","3.9","3.75","2015-12-28T16:45:43.345Z","","",""
"1","72","-2.325","29.132437","1572.0","88.0","3","3.75","2015-12-28T16:45:43.412Z","","",""
"1","73","-2.325003","29.132469","1573.0","92.0","3.9","3.75","2015-12-28T16:45:45.166Z","","",""
"1","74","-2.325003","29.132469","1573.0","92.0","3","3.75","2015-12-28T16:45:45.218Z","","",""
