"Name","Activity type","Description"
"29/12/2015 15:57","driving",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","-2.174679","29.286398","1713.0","329.0","8","4.4721","2015-12-29T14:57:12.460Z","","",""
"1","2","-2.174679","29.286398","1713.0","329.0","8","4.4721","2015-12-29T14:57:18.087Z","","",""
"1","3","-2.174623","29.286376","1721.0","321.0","7","3.5","2015-12-29T14:57:18.995Z","","",""
"1","4","-2.174623","29.286376","1721.0","321.0","7","3.5","2015-12-29T14:57:19.044Z","","",""
"1","5","-2.174577","29.286328","1727.0","316.0","7","4","2015-12-29T14:57:19.971Z","","",""
"1","6","-2.174577","29.286328","1727.0","316.0","7","4","2015-12-29T14:57:20.008Z","","",""
"1","7","-2.174536","29.286287","1717.0","317.0","6","4.0311","2015-12-29T14:57:22.018Z","","",""
"1","8","-2.174536","29.286287","1717.0","317.0","6","4.0311","2015-12-29T14:57:22.094Z","","",""
"1","9","-2.174497","29.286245","1714.0","315.0","6","4.7762","2015-12-29T14:57:23.143Z","","",""
"1","10","-2.174497","29.286245","1714.0","315.0","6","4.7762","2015-12-29T14:57:23.185Z","","",""
"1","11","-2.174469","29.286303","1704.0","313.0","5","5.25","2015-12-29T14:57:24.002Z","","",""
"1","12","-2.174469","29.286303","1704.0","313.0","5","5.25","2015-12-29T14:57:24.049Z","","",""
"1","13","-2.174355","29.28613","1746.0","318.0","9","6","2015-12-29T14:57:27.010Z","","",""
"1","14","-2.174355","29.28613","1746.0","318.0","9","6","2015-12-29T14:57:27.059Z","","",""
"1","15","-2.174312","29.286111","1747.0","321.0","9","5.75","2015-12-29T14:57:28.062Z","","",""
"1","16","-2.174312","29.286111","1747.0","321.0","9","5.75","2015-12-29T14:57:28.107Z","","",""
"1","17","-2.174281","29.286086","1750.0","327.0","9","5.75","2015-12-29T14:57:29.065Z","","",""
"1","18","-2.174281","29.286086","1750.0","327.0","9","5.75","2015-12-29T14:57:29.095Z","","",""
"1","19","-2.174165","29.286029","1745.0","333.0","9","5.5","2015-12-29T14:57:31.046Z","","",""
"1","20","-2.174165","29.286029","1745.0","333.0","9","5.5","2015-12-29T14:57:31.095Z","","",""
"1","21","-2.174102","29.285999","1741.0","336.0","9","5.75","2015-12-29T14:57:32.117Z","","",""
"1","22","-2.174102","29.285999","1741.0","336.0","9","5.75","2015-12-29T14:57:32.180Z","","",""
"1","23","-2.174042","29.285984","1742.0","339.0","9","6","2015-12-29T14:57:33.091Z","","",""
"1","24","-2.174042","29.285984","1742.0","339.0","9","6","2015-12-29T14:57:33.131Z","","",""
"1","25","-2.173933","29.285962","1740.0","349.0","9","5.75","2015-12-29T14:57:35.169Z","","",""
"1","26","-2.173933","29.285962","1740.0","349.0","9","5.75","2015-12-29T14:57:35.204Z","","",""
"1","27","-2.173882","29.285956","1741.0","350.0","9","5.75","2015-12-29T14:57:36.299Z","","",""
"1","28","-2.173882","29.285956","1741.0","350.0","9","5.75","2015-12-29T14:57:36.332Z","","",""
"1","29","-2.173831","29.285945","1740.0","350.0","9","5.75","2015-12-29T14:57:37.204Z","","",""
"1","30","-2.173831","29.285945","1740.0","350.0","9","5.75","2015-12-29T14:57:37.233Z","","",""
"1","31","-2.173781","29.285937","1740.0","351.0","9","5.5","2015-12-29T14:57:38.136Z","","",""
"1","32","-2.173781","29.285937","1740.0","351.0","9","5.5","2015-12-29T14:57:38.172Z","","",""
"1","33","-2.173737","29.285924","1739.0","350.0","3.9","5.5","2015-12-29T14:57:39.158Z","","",""
"1","34","-2.173737","29.285924","1739.0","350.0","3","5.5","2015-12-29T14:57:39.192Z","","",""
"1","35","-2.173686","29.285914","1739.0","348.0","3.9","5.5","2015-12-29T14:57:40.092Z","","",""
"1","36","-2.173686","29.285914","1739.0","348.0","3","5.5","2015-12-29T14:57:40.125Z","","",""
"1","37","-2.173652","29.285907","1739.0","350.0","4","5.5","2015-12-29T14:57:41.294Z","","",""
"1","38","-2.173652","29.285907","1739.0","350.0","4","5.5","2015-12-29T14:57:41.346Z","","",""
"1","39","-2.173603","29.285905","1741.0","352.0","4","5.75","2015-12-29T14:57:42.089Z","","",""
"1","40","-2.173603","29.285905","1741.0","352.0","4","5.75","2015-12-29T14:57:42.117Z","","",""
"1","41","-2.173563","29.285899","1739.0","355.0","4","5.75","2015-12-29T14:57:43.105Z","","",""
"1","42","-2.173563","29.285899","1739.0","355.0","4","5.75","2015-12-29T14:57:43.159Z","","",""
"1","43","-2.173514","29.285891","1739.0","355.0","4","5.75","2015-12-29T14:57:44.075Z","","",""
"1","44","-2.173514","29.285891","1739.0","355.0","4","5.75","2015-12-29T14:57:44.110Z","","",""
"1","45","-2.17346","29.285895","1738.0","354.0","4","5.75","2015-12-29T14:57:45.017Z","","",""
"1","46","-2.17346","29.285895","1738.0","354.0","4","5.75","2015-12-29T14:57:45.128Z","","",""
"1","47","-2.173404","29.2859","1737.0","358.0","4","5.75","2015-12-29T14:57:46.222Z","","",""
"1","48","-2.173404","29.2859","1737.0","358.0","4","5.75","2015-12-29T14:57:46.291Z","","",""
"1","49","-2.173359","29.285896","1737.0","355.0","5","5.75","2015-12-29T14:57:47.092Z","","",""
"1","50","-2.173359","29.285896","1737.0","355.0","5","5.75","2015-12-29T14:57:47.121Z","","",""
"1","51","-2.173301","29.28589","1737.0","353.0","5","6","2015-12-29T14:57:48.042Z","","",""
"1","52","-2.173301","29.28589","1737.0","353.0","5","6","2015-12-29T14:57:48.129Z","","",""
"1","53","-2.173268","29.285886","1734.0","355.0","5","5.5","2015-12-29T14:57:49.060Z","","",""
"1","54","-2.173268","29.285886","1734.0","355.0","5","5.5","2015-12-29T14:57:49.111Z","","",""
"1","55","-2.173215","29.285879","1734.0","354.0","5","5.5","2015-12-29T14:57:50.148Z","","",""
